               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.024695,            0.020256,           0.0018131,             0.86351,             0.61445,             0.68045,             0.43204,            0.030868,            0.017946,           0.0077311,           0.0017005,           0.0017005,           0.0017005
                 125,            0.024407,            0.019742,           0.0017149,             0.93958,             0.61059,             0.70349,             0.43296,            0.031168,            0.018117,           0.0081078,           0.0016509,           0.0016509,           0.0016509
                 126,            0.024818,            0.020366,           0.0019757,             0.93598,             0.62065,              0.6778,             0.42949,            0.030653,            0.018304,           0.0086331,           0.0016029,           0.0016029,           0.0016029
                 127,            0.024243,            0.019714,            0.001681,             0.92733,             0.63623,             0.70376,             0.43397,            0.031075,            0.018673,            0.008461,           0.0015566,           0.0015566,           0.0015566
                 128,            0.024219,            0.020379,           0.0015985,             0.93953,             0.64156,              0.7062,             0.44204,            0.030723,            0.018298,           0.0078348,           0.0015121,           0.0015121,           0.0015121
                 129,            0.024462,            0.019752,           0.0018336,             0.93259,             0.61399,             0.69765,             0.43386,            0.030919,            0.018408,           0.0083369,           0.0014693,           0.0014693,           0.0014693
                 130,            0.024273,            0.020449,           0.0017788,             0.90114,             0.64303,             0.70952,             0.42738,            0.030959,             0.01828,           0.0074542,           0.0014283,           0.0014283,           0.0014283
                 131,            0.024235,            0.020044,           0.0018587,             0.95417,             0.63003,              0.7107,             0.44457,            0.030499,            0.018181,           0.0074844,            0.001389,            0.001389,            0.001389
                 132,            0.023593,            0.019274,           0.0016525,             0.94161,              0.6421,             0.71811,              0.4492,            0.030681,            0.018107,             0.00831,           0.0013516,           0.0013516,           0.0013516
                 133,            0.024542,            0.020808,           0.0019725,             0.94112,             0.60825,             0.71096,             0.45179,            0.030335,            0.017912,           0.0080693,            0.001316,            0.001316,            0.001316
                 134,            0.023373,            0.019626,           0.0017212,             0.86861,             0.63437,             0.68167,             0.43849,            0.030728,            0.017894,            0.009195,           0.0012822,           0.0012822,           0.0012822
                 135,            0.024173,            0.019688,           0.0018458,             0.91902,             0.63246,             0.69602,             0.43711,            0.030974,            0.018305,           0.0095426,           0.0012503,           0.0012503,           0.0012503
                 136,            0.023714,              0.0199,           0.0015948,             0.96125,             0.61877,             0.70401,             0.42774,            0.030932,            0.018325,           0.0080931,           0.0012202,           0.0012202,           0.0012202
                 137,             0.02376,            0.019706,           0.0016349,             0.94401,             0.62208,             0.70231,             0.44016,            0.030416,            0.018135,           0.0087992,           0.0011921,           0.0011921,           0.0011921
                 138,              0.0241,            0.019369,            0.001678,             0.94439,             0.62329,             0.71002,             0.43364,            0.030762,            0.018302,           0.0082971,           0.0011658,           0.0011658,           0.0011658
                 139,            0.024031,            0.019536,           0.0017126,             0.93054,             0.62346,             0.69884,             0.42034,            0.030612,            0.018452,           0.0092271,           0.0011414,           0.0011414,           0.0011414
                 140,            0.023583,            0.018952,           0.0016196,             0.91087,             0.62078,             0.69984,             0.43873,            0.030612,            0.018441,            0.008444,           0.0011189,           0.0011189,           0.0011189
                 141,            0.023774,            0.019792,            0.001619,             0.96181,             0.63339,             0.71132,             0.44352,            0.030905,            0.018135,           0.0076978,           0.0010983,           0.0010983,           0.0010983
                 142,            0.023208,            0.019004,           0.0016838,                0.93,             0.64301,             0.72875,             0.44833,             0.03076,            0.018395,           0.0074115,           0.0010797,           0.0010797,           0.0010797
                 143,            0.023731,            0.018706,           0.0015648,             0.94385,             0.62827,             0.71158,             0.44398,            0.031073,            0.018232,           0.0082178,            0.001063,            0.001063,            0.001063
                 144,            0.023914,            0.019271,           0.0018586,             0.93703,             0.64634,             0.71273,             0.44588,            0.030498,            0.018626,           0.0081455,           0.0010483,           0.0010483,           0.0010483
                 145,            0.023596,            0.019546,           0.0015049,             0.95582,             0.64562,             0.70935,             0.43666,            0.030289,            0.018366,           0.0082439,           0.0010355,           0.0010355,           0.0010355
                 146,            0.023864,            0.019174,           0.0017534,             0.95948,             0.64711,               0.717,              0.4365,            0.030495,             0.01824,           0.0077961,           0.0010247,           0.0010247,           0.0010247
                 147,            0.023711,            0.019499,           0.0016861,             0.93796,              0.6456,             0.71571,             0.43938,            0.030425,            0.018384,           0.0072587,           0.0010158,           0.0010158,           0.0010158
                 148,            0.024055,            0.020634,           0.0016627,             0.93255,              0.6498,             0.70577,             0.43669,             0.03082,             0.01836,           0.0087285,           0.0010089,           0.0010089,           0.0010089
                 149,              0.0235,            0.019305,           0.0016797,             0.97215,             0.63634,             0.70346,             0.43257,            0.030666,            0.018052,           0.0088348,           0.0010039,           0.0010039,           0.0010039
