               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.027342,            0.021655,           0.0017764,             0.80892,             0.72813,             0.78556,             0.48409,            0.031387,            0.018823,           0.0069137,           0.0031689,           0.0031689,           0.0031689
                 103,            0.026739,            0.021213,           0.0020145,             0.93557,             0.67367,             0.77968,             0.45403,            0.031949,            0.019386,           0.0069604,           0.0030888,           0.0030888,           0.0030888
                 104,            0.026686,            0.021661,           0.0020569,             0.84568,              0.6942,             0.79101,             0.48189,            0.031034,            0.019208,           0.0067911,           0.0030097,           0.0030097,           0.0030097
                 105,            0.026774,            0.022481,           0.0020515,             0.73413,              0.7669,             0.77183,             0.46049,            0.031939,            0.019616,           0.0056916,           0.0029318,           0.0029318,           0.0029318
                 106,            0.026861,             0.02121,           0.0017858,             0.83266,              0.7199,             0.78006,             0.47263,            0.031504,            0.019228,            0.006419,            0.002855,            0.002855,            0.002855
                 107,            0.026234,            0.020559,           0.0018648,              0.8993,             0.69764,             0.78989,             0.47389,            0.031165,            0.019056,           0.0067245,           0.0027793,           0.0027793,           0.0027793
                 108,            0.025588,            0.020832,           0.0016324,             0.85953,             0.73055,             0.78448,             0.47372,            0.031681,            0.019773,           0.0054131,           0.0027048,           0.0027048,           0.0027048
                 109,            0.026033,            0.020822,           0.0017849,             0.86611,             0.74002,             0.78561,              0.4806,            0.031984,            0.019205,           0.0054064,           0.0026316,           0.0026316,           0.0026316
                 110,             0.02641,            0.021219,           0.0016662,              0.8306,             0.75858,             0.78985,             0.48577,            0.031611,            0.018879,           0.0049295,           0.0025596,           0.0025596,           0.0025596
                 111,            0.026394,            0.020837,             0.00178,             0.79287,             0.74075,             0.79754,             0.48019,            0.031406,            0.018965,           0.0049926,           0.0024889,           0.0024889,           0.0024889
                 112,               0.026,            0.020918,            0.002054,             0.80284,              0.7618,             0.78788,             0.46483,            0.031533,            0.018864,           0.0062654,           0.0024195,           0.0024195,           0.0024195
                 113,            0.025869,            0.021239,            0.001633,             0.95424,             0.71014,             0.80556,             0.48444,            0.031499,            0.019482,           0.0052201,           0.0023515,           0.0023515,           0.0023515
                 114,            0.025504,            0.019966,           0.0016489,             0.77552,             0.71983,              0.7795,             0.46724,            0.031097,            0.019581,           0.0052738,           0.0022849,           0.0022849,           0.0022849
                 115,             0.02594,            0.020644,           0.0017966,             0.80964,             0.74613,              0.7866,             0.47888,            0.031562,            0.019246,           0.0050025,           0.0022196,           0.0022196,           0.0022196
                 116,            0.026041,            0.021074,           0.0017908,             0.82353,             0.70982,              0.7669,             0.47354,            0.031709,            0.019861,           0.0052256,           0.0021558,           0.0021558,           0.0021558
                 117,            0.025315,            0.020263,           0.0016793,             0.81162,             0.73552,              0.7715,             0.46664,            0.031878,            0.019503,           0.0045385,           0.0020935,           0.0020935,           0.0020935
                 118,            0.026054,            0.020521,           0.0016829,             0.89487,             0.71492,             0.77998,             0.47411,            0.031753,            0.018926,           0.0046843,           0.0020327,           0.0020327,           0.0020327
                 119,            0.025449,            0.020447,           0.0015711,             0.89952,             0.71984,             0.79334,             0.48409,            0.031279,            0.019268,           0.0045189,           0.0019734,           0.0019734,           0.0019734
                 120,            0.025331,            0.020178,           0.0016738,             0.87517,             0.72914,             0.79113,             0.47033,             0.03172,            0.019357,           0.0050094,           0.0019156,           0.0019156,           0.0019156
                 121,            0.025272,            0.020475,           0.0017216,             0.89449,             0.72675,             0.79289,             0.46852,            0.032052,            0.019123,           0.0047437,           0.0018594,           0.0018594,           0.0018594
                 122,            0.025845,            0.020911,           0.0016781,             0.91682,             0.71858,             0.80619,             0.48071,            0.031572,            0.018875,           0.0045629,           0.0018048,           0.0018048,           0.0018048
                 123,            0.025103,            0.019692,           0.0016601,             0.91324,             0.73443,             0.80117,             0.47445,            0.032194,            0.018923,             0.00441,           0.0017519,           0.0017519,           0.0017519
                 124,            0.025532,            0.020996,           0.0017215,             0.95686,              0.6652,             0.80298,             0.47973,            0.031517,            0.019189,            0.004447,           0.0017005,           0.0017005,           0.0017005
                 125,            0.025281,            0.021429,           0.0015844,             0.94432,             0.70472,             0.80331,             0.45864,            0.031716,            0.019376,           0.0047342,           0.0016509,           0.0016509,           0.0016509
                 126,            0.025061,            0.020398,           0.0017318,             0.86072,             0.71524,             0.80011,             0.46513,            0.030829,            0.019848,           0.0045656,           0.0016029,           0.0016029,           0.0016029
                 127,             0.02519,            0.020699,           0.0015242,             0.89082,             0.68399,             0.78581,             0.47133,            0.031498,            0.019665,           0.0052513,           0.0015566,           0.0015566,           0.0015566
                 128,            0.025029,            0.020435,           0.0015961,             0.95985,             0.67254,             0.78962,             0.46747,            0.031347,            0.019302,           0.0046177,           0.0015121,           0.0015121,           0.0015121
                 129,            0.025231,            0.019903,            0.001589,             0.88676,             0.72545,             0.79255,             0.47819,            0.031288,            0.019237,            0.005086,           0.0014693,           0.0014693,           0.0014693
                 130,            0.024978,            0.020769,           0.0016123,             0.90734,             0.68102,             0.79305,             0.48266,             0.03104,            0.019649,            0.004867,           0.0014283,           0.0014283,           0.0014283
                 131,            0.024673,            0.019824,            0.001706,             0.86218,             0.71906,             0.80099,                0.47,            0.031711,            0.019508,           0.0047982,            0.001389,            0.001389,            0.001389
                 132,            0.025051,            0.020726,           0.0013222,             0.86011,             0.73565,             0.79601,             0.47854,            0.031461,             0.01905,           0.0044737,           0.0013516,           0.0013516,           0.0013516
                 133,            0.024678,             0.01999,           0.0013529,             0.87569,             0.71524,             0.80082,             0.48964,            0.031156,            0.019437,            0.004105,            0.001316,            0.001316,            0.001316
                 134,            0.024281,            0.019859,           0.0014405,              0.9371,             0.69256,             0.80741,             0.47989,            0.031592,            0.019911,           0.0048303,           0.0012822,           0.0012822,           0.0012822
                 135,             0.02493,            0.020711,           0.0013846,             0.92474,             0.71994,             0.79445,             0.46895,            0.031942,            0.019747,           0.0045735,           0.0012503,           0.0012503,           0.0012503
                 136,            0.024904,            0.020716,           0.0014537,             0.85944,             0.73506,             0.79455,             0.48108,            0.031626,            0.019513,           0.0044896,           0.0012202,           0.0012202,           0.0012202
                 137,            0.024035,            0.020265,           0.0014767,             0.89336,             0.72545,              0.8001,             0.46876,            0.031789,            0.019306,           0.0043714,           0.0011921,           0.0011921,           0.0011921
                 138,            0.024671,            0.021465,           0.0014026,             0.92371,               0.693,              0.7915,             0.47008,            0.031357,            0.019502,           0.0047025,           0.0011658,           0.0011658,           0.0011658
                 139,            0.024746,            0.020942,           0.0016076,             0.88945,             0.70934,             0.78936,              0.4698,            0.031304,            0.019819,           0.0050491,           0.0011414,           0.0011414,           0.0011414
                 140,             0.02426,            0.020678,           0.0015462,             0.88716,             0.72545,             0.79913,             0.48186,            0.031428,            0.019003,           0.0041635,           0.0011189,           0.0011189,           0.0011189
                 141,            0.024564,            0.019846,           0.0014792,              0.9236,             0.69452,             0.79704,             0.48397,             0.03109,            0.019378,           0.0046319,           0.0010983,           0.0010983,           0.0010983
                 142,            0.024528,            0.020476,           0.0013842,             0.88607,             0.73416,             0.79514,             0.47127,            0.031679,            0.019284,           0.0045214,           0.0010797,           0.0010797,           0.0010797
                 143,            0.024528,            0.019826,           0.0012935,             0.83435,             0.70581,             0.77504,             0.47901,              0.0316,            0.020244,           0.0053808,            0.001063,            0.001063,            0.001063
                 144,            0.024281,            0.020042,           0.0013227,             0.92839,             0.69962,             0.79959,             0.47788,            0.031202,            0.019182,           0.0055464,           0.0010483,           0.0010483,           0.0010483
                 145,            0.024689,            0.020183,           0.0015347,             0.85839,             0.71526,             0.78955,             0.47042,            0.031315,             0.01951,           0.0053785,           0.0010355,           0.0010355,           0.0010355
                 146,            0.024117,            0.019213,           0.0013581,              0.8575,             0.70437,             0.77683,             0.46859,            0.031599,            0.019749,           0.0055829,           0.0010247,           0.0010247,           0.0010247
                 147,            0.024094,            0.020501,           0.0012773,             0.85149,             0.73049,              0.7863,             0.46592,            0.032116,            0.019078,           0.0046476,           0.0010158,           0.0010158,           0.0010158
                 148,             0.02424,            0.019001,           0.0014518,             0.91251,             0.68923,             0.78737,             0.46872,            0.031854,             0.01946,           0.0051316,           0.0010089,           0.0010089,           0.0010089
                 149,            0.023515,            0.019531,           0.0011893,             0.91105,              0.7097,              0.7927,             0.47782,            0.031441,            0.020381,           0.0054068,           0.0010039,           0.0010039,           0.0010039
